run set,number of matches,winning result,game master balance,player balance
5:1:3,1,1,99999,100001
3:4:6,0,-1,100000,100000
4:3:5,0,-1,100001,99999
1:1:3,2,2,99999,100001
6:2:5,0,-1,100000,100000
4:6:1,1,1,99999,100001
6:1:4,1,1,99998,100002
1:4:2,1,1,99997,100003
3:6:1,1,1,99996,100004
6:2:6,0,-1,99997,100003
2:3:1,1,1,99996,100004
6:5:6,0,-1,99997,100003
4:6:4,0,-1,99998,100002
1:5:6,1,1,99997,100003
5:4:5,0,-1,99998,100002
4:1:4,1,1,99997,100003
1:4:5,1,1,99996,100004
2:1:1,2,2,99994,100006
3:4:6,0,-1,99995,100005
5:3:6,0,-1,99996,100004
5:2:2,0,-1,99997,100003
5:4:3,0,-1,99998,100002
5:1:2,1,1,99997,100003
2:1:5,1,1,99996,100004
1:1:6,2,2,99994,100006
4:2:1,1,1,99993,100007
1:6:6,1,1,99992,100008
1:5:6,1,1,99991,100009
5:2:2,0,-1,99992,100008
1:2:5,1,1,99991,100009
1:6:6,1,1,99990,100010
3:4:3,0,-1,99991,100009
1:6:2,1,1,99990,100010
2:3:1,1,1,99989,100011
5:5:2,0,-1,99990,100010
3:4:2,0,-1,99991,100009
1:1:4,2,2,99989,100011
5:4:5,0,-1,99990,100010
5:2:5,0,-1,99991,100009
1:6:4,1,1,99990,100010
2:5:3,0,-1,99991,100009
5:3:1,1,1,99990,100010
6:3:5,0,-1,99991,100009
3:3:3,0,-1,99992,100008
6:6:4,0,-1,99993,100007
6:4:2,0,-1,99994,100006
2:1:5,1,1,99993,100007
6:3:2,0,-1,99994,100006
4:3:3,0,-1,99995,100005
6:2:6,0,-1,99996,100004
5:5:2,0,-1,99997,100003
2:2:2,0,-1,99998,100002
3:1:3,1,1,99997,100003
2:4:6,0,-1,99998,100002
1:1:1,3,3,99995,100005
4:2:1,1,1,99994,100006
4:4:5,0,-1,99995,100005
6:3:3,0,-1,99996,100004
2:2:4,0,-1,99997,100003
4:1:1,2,2,99995,100005
1:4:3,1,1,99994,100006
6:2:4,0,-1,99995,100005
3:3:1,1,1,99994,100006
2:5:4,0,-1,99995,100005
5:1:1,2,2,99993,100007
3:2:4,0,-1,99994,100006
5:1:6,1,1,99993,100007
5:4:4,0,-1,99994,100006
4:5:5,0,-1,99995,100005
2:1:3,1,1,99994,100006
4:5:4,0,-1,99995,100005
2:3:5,0,-1,99996,100004
3:4:1,1,1,99995,100005
3:2:6,0,-1,99996,100004
3:2:1,1,1,99995,100005
3:5:5,0,-1,99996,100004
6:5:4,0,-1,99997,100003
6:1:1,2,2,99995,100005
5:3:4,0,-1,99996,100004
3:3:1,1,1,99995,100005
1:5:6,1,1,99994,100006
6:2:4,0,-1,99995,100005
3:3:1,1,1,99994,100006
3:1:4,1,1,99993,100007
3:5:3,0,-1,99994,100006
4:2:4,0,-1,99995,100005
4:1:3,1,1,99994,100006
2:4:4,0,-1,99995,100005
3:6:6,0,-1,99996,100004
1:1:2,2,2,99994,100006
5:6:4,0,-1,99995,100005
6:5:2,0,-1,99996,100004
3:2:2,0,-1,99997,100003
5:3:1,1,1,99996,100004
1:4:5,1,1,99995,100005
5:4:3,0,-1,99996,100004
1:6:6,1,1,99995,100005
3:1:4,1,1,99994,100006
6:2:3,0,-1,99995,100005
2:3:6,0,-1,99996,100004
3:4:6,0,-1,99997,100003
2:6:5,0,-1,99998,100002
3:2:3,0,-1,99999,100001
3:4:4,0,-1,100000,100000
3:1:1,2,2,99998,100002
1:1:1,3,3,99995,100005
2:3:3,0,-1,99996,100004
5:1:3,1,1,99995,100005
1:3:1,2,2,99993,100007
5:6:6,0,-1,99994,100006
